,subject,color,gi,mi,status,bp,wp,response,rt
0,0.0,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,11,7.223
1,1.0,1,0,1,playing,000000000001000000000000000000000000,000000000000000000000000000000000000,24,5.141
2,0.0,0,0,2,playing,000000000001000000000000000000000000,000000000000000000000000100000000000,21,3.154
3,1.0,1,0,3,playing,000000000001000000000100000000000000,000000000000000000000000100000000000,31,5.715
4,0.0,0,0,4,playing,000000000001000000000100000000000000,000000000000000000000000100000010000,14,6.837
5,1.0,1,0,5,playing,000000000001001000000100000000000000,000000000000000000000000100000010000,33,8.987
6,0.0,0,0,6,playing,000000000001001000000100000000000000,000000000000000000000000100000010100,13,2.02
7,1.0,1,0,7,playing,000000000001011000000100000000000000,000000000000000000000000100000010100,12,4.34
8,0.0,0,0,8,playing,000000000001011000000100000000000000,000000000000100000000000100000010100,29,9.471
9,1.0,1,0,9,playing,000000000001011000000100000001000000,000000000000100000000000100000010100,5,5.049
10,0.0,0,0,10,playing,000000000001011000000100000001000000,000001000000100000000000100000010100,15,7.365
11,1.0,1,0,11,playing,000000000001011100000100000001000000,000001000000100000000000100000010100,16,3.17
12,0.0,0,0,12,playing,000000000001011100000100000001000000,000001000000100010000000100000010100,20,3.125
13,1.0,1,0,13,playing,000000000001011100001100000001000000,000001000000100010000000100000010100,2,2.827
14,0.0,0,0,14,playing,000000000001011100001100000001000000,001001000000100010000000100000010100,22,3.169
15,1.0,1,0,15,playing,000000000001011100001110000001000000,001001000000100010000000100000010100,23,3.922
16,0.0,0,0,16,win,000000000001011100001110000001000000,001001000000100010000001100000010100,19,3.977
17,1.0,0,1,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,33,9.549
18,0.0,1,1,1,playing,000000000000000000000000000000000100,000000000000000000000000000000000000,14,6.832
19,1.0,0,1,2,playing,000000000000000000000000000000000100,000000000000001000000000000000000000,22,5.342
20,0.0,1,1,3,playing,000000000000000000000010000000000100,000000000000001000000000000000000000,24,6.654
21,1.0,0,1,4,playing,000000000000000000000010000000000100,000000000000001000000000100000000000,30,13.894
22,0.0,1,1,5,playing,000000000000000000000010000000100100,000000000000001000000000100000000000,31,3.56
23,1.0,0,1,6,playing,000000000000000000000010000000100100,000000000000001000000000100000010000,34,13.158
24,0.0,1,1,7,playing,000000000000000000000010000000100110,000000000000001000000000100000010000,15,2.047
25,1.0,0,1,8,playing,000000000000000000000010000000100110,000000000000001100000000100000010000,13,9.558
26,0.0,1,1,9,playing,000000000000010000000010000000100110,000000000000001100000000100000010000,23,1.365
27,1.0,0,1,10,playing,000000000000010000000010000000100110,000000000000001100000001100000010000,7,8.482
28,0.0,1,1,11,playing,000000010000010000000010000000100110,000000000000001100000001100000010000,10,16.508
29,1.0,0,1,12,playing,000000010000010000000010000000100110,000000000010001100000001100000010000,20,16.552
30,0.0,1,1,13,playing,000000010000010000001010000000100110,000000000010001100000001100000010000,32,26.555
31,1.0,0,1,14,playing,000000010000010000001010000000100110,000000000010001100000001100000011000,5,10.259
32,0.0,1,1,15,playing,000001010000010000001010000000100110,000000000010001100000001100000011000,17,4.049
33,1.0,0,1,16,playing,000001010000010000001010000000100110,000000000010001101000001100000011000,16,7.075
34,0.0,1,1,17,playing,000001010000010010001010000000100110,000000000010001101000001100000011000,25,1.606
35,1.0,0,1,18,playing,000001010000010010001010000000100110,000000000010001101000001110000011000,26,5.282
36,0.0,1,1,19,playing,000001010000010010001010001000100110,000000000010001101000001110000011000,29,10.557
