,subject,color,gi,mi,status,bp,wp,response,rt
3176,20.0,1,3,5,playing,000000000010000000001000000010000000,000000000001100000000000000000000000,19,6.709
3229,20.0,1,5,15,playing,000100000000001100000011100001010000,000001000000110000001100010000100000,7,5.001
3258,20.0,1,7,11,playing,001000000000001100000001100000010000,000010000000110000000010000000001000,7,2.906
3215,20.0,1,5,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,12,7.897
3221,20.0,1,5,7,playing,000000000000001000000011000000010000,000000000000110000000100000000000000,5,33.585
3128,20.0,0,0,12,playing,000000000011000000010000000011100000,010000000000000000001110000100010000,23,1.922
3201,20.0,0,4,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,5.135
3213,20.0,0,4,12,win,000001000011100000001010000000000000,000010000100001000000001000000011000,13,1.204
3153,20.0,0,2,8,playing,000000000000101000000010000000100000,000000100000010000000100000000001000,20,16.82
3209,20.0,0,4,8,playing,000001000000100000001010000000000000,000010000000001000000001000000001000,11,33.964
3297,20.0,1,9,13,playing,000000100000001100000101000000011000,000001010001010000000010100000000000,12,50.527
3313,20.0,0,10,2,playing,000000000000010000000000000000000000,000000000000000000000001000000000000,31,29.915
3311,20.0,0,10,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,20.33
3270,20.0,1,7,23,playing,001000100001001110000001100010110001,000010010010110001001010010000001100,29,3.011
3140,20.0,1,1,5,playing,000000000000000000010010000001000000,000000000000010000000100000000000000,11,6.536
3124,20.0,0,0,8,playing,000000000010000000000000000011100000,000000000000000000001100000100010000,19,8.419
3238,20.0,0,6,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,5.647
3182,20.0,1,3,11,playing,000000000010000000001010000110100000,100000000001100000010000000001000000,14,21.716
3211,20.0,0,4,10,playing,000001000001100000001010000000000000,000010000000001000000001000000011000,10,16.761
3136,20.0,1,1,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,13,9.522
3287,20.0,1,9,3,playing,000000000000000000000101000000000000,000000000000010000000000000000000000,22,3.778
3268,20.0,1,7,21,playing,001000100001001110000001100010010001,000010010010110001000010010000001100,20,9.54
3186,20.0,1,3,15,playing,000000000010010000001010000110100100,100010000001101000010000000001000000,23,18.634
3134,20.0,0,0,18,win,000010000011100000010001000011100000,010000000000010010001110000100011000,9,2.2
3315,20.0,0,10,4,playing,000000000000010000000000000000010000,000000000000000000000011000000000000,21,1.848
3235,20.0,1,5,21,playing,000100100000001100000011100011010010,000011010000110000001100010000100100,10,4.395
3240,20.0,0,6,2,playing,000000000000000000000010000000000000,000000000000001000000000000000000000,23,31.555
3250,20.0,1,7,3,playing,000000000000000000000001100000000000,000000000000010000000000000000000000,22,3.951
3122,20.0,0,0,6,playing,000000000010000000000000000010100000,000000000000000000001100000000010000,29,12.53
3244,20.0,0,6,6,playing,000000000000100000000011000000000000,000000000000001000000000100000001000,20,29.012
3207,20.0,0,4,6,playing,000000000000100000001010000000000000,000000000000001000000001000000001000,5,3.808
3260,20.0,1,7,13,playing,001000100000001100000001100000010000,000010010000110000000010000000001000,33,3.365
3167,20.0,0,2,22,playing,000001000011101000001010010110100000,100010100100010000010101000001011000,33,6.111
3305,20.0,1,9,21,playing,000000100010001100011101000000011100,000001010001110000100010100010100000,34,2.788
3126,20.0,0,0,10,playing,000000000010000000010000000011100000,010000000000000000001100000100010000,11,6.43
3231,20.0,1,5,17,playing,000100000000001100000011100001010010,000001010000110000001100010000100000,4,5.955
3184,20.0,1,3,13,playing,000000000010010000001010000110100000,100000000001101000010000000001000000,4,51.994
3309,20.0,1,9,25,playing,000010100010001110011101000000011100,000001010001110001100010100010100010,27,19.829
3196,20.0,1,3,25,playing,000100010010010001001010100110101100,100011000001101110010001000001010000,25,1.406
3169,20.0,0,2,24,playing,000001000011101000001010010110100100,100010100100010100010101000001011000,7,2.949
3132,20.0,0,0,16,playing,000010000011000000010001000011100000,010000000000010000001110000100011000,12,28.028
3279,20.0,0,8,4,playing,000000000000010000000100000000000000,000000000000000000000000100001000000,11,5.272
3118,20.0,0,0,2,playing,000000000010000000000000000000000000,000000000000000000000000000000010000,30,5.134
3281,20.0,0,8,6,playing,000000000001010000000100000000000000,000000000000000000000000100001010000,12,2.753
3225,20.0,1,5,11,playing,000100000000001000000011000001010000,000001000000110000000100000000100000,20,55.906
3277,20.0,0,8,2,playing,000000000000010000000000000000000000,000000000000000000000000100000000000,21,13.107
3252,20.0,1,7,5,playing,000000000000000000000001100000010000,000000000000010000000010000000000000,12,21.028
3248,20.0,1,7,1,playing,000000000000000000000001000000000000,000000000000000000000000000000000000,13,19.606
3321,20.0,0,10,10,win,000000000001110000000100000000010000,010001000000001000000011000000000000,10,1.48
3147,20.0,0,2,2,playing,000000000000000000000010000000000000,000000000000000000000100000000000000,12,14.806
3200,20.0,1,3,29,playing,000100010010010001001010101110101101,100011000001101110010001010001010010,8,3.056
3155,20.0,0,2,10,playing,000000000000101000001010000000100000,000000100000010000000100000001001000,5,2.392
3317,20.0,0,10,6,playing,000000000000010000000100000000010000,000001000000000000000011000000000000,11,7.684
