,subject,color,gi,mi,status,bp,wp,response,rt
3239,21,1,6,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,14,12.443
3162,21,1,2,17,playing,000001000011101000001010000010100000,100000100100010000000100000001011000,4,8.262
3158,21,1,2,13,playing,000001000010101000001010000000100000,000000100000010000000100000001011000,0,6.659
3247,21,0,7,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,23,5.836
3294,21,0,9,10,playing,000000000000001100000101000000010000,000001010001010000000010000000000000,6,18.271
3150,21,1,2,5,playing,000000000000101000000010000000000000,000000000000000000000100000000001000,13,2.53
3218,21,0,5,4,playing,000000000000000000000011000000000000,000000000000100000000100000000000000,31,16.145
3137,21,0,1,2,playing,000000000000000000000010000000000000,000000000000010000000000000000000000,19,10.129
3284,21,0,9,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,23,2.719
3236,21,0,5,22,playing,000100100000001100000011100011010010,000011010010110000001100010000100100,11,2.361
3154,21,1,2,9,playing,000000000000101000001010000000100000,000000100000010000000100000000001000,29,24.241
3320,21,1,10,9,playing,000000000001110000000100000000010000,010001000000000000000011000000000000,14,4.809
3141,21,0,1,6,playing,000000000000000000010010000001000000,000000000001010000000100000000000000,31,9.233
3133,21,1,0,17,playing,000010000011100000010001000011100000,010000000000010000001110000100011000,16,31.304
3164,21,1,2,19,playing,000001000011101000001010000110100000,100010100100010000000100000001011000,19,26.932
3152,21,1,2,7,playing,000000000000101000000010000000100000,000000000000010000000100000000001000,6,4.1
3210,21,1,4,9,playing,000001000001100000001010000000000000,000010000000001000000001000000001000,31,5.216
3195,21,0,3,24,playing,000100010010010000001010100110101100,100011000001101110010001000001010000,17,3.844
3296,21,0,9,12,playing,000000100000001100000101000000010000,000001010001010000000010100000000000,32,30.152
3168,21,1,2,23,playing,000001000011101000001010010110100100,100010100100010000010101000001011000,15,44.437
3197,21,0,3,26,playing,000100010010010001001010100110101100,100011000001101110010001010001010000,35,5.65
3232,21,0,5,18,playing,000100000000001100000011100001010010,000011010000110000001100010000100000,6,2.751
3251,21,0,7,4,playing,000000000000000000000001100000000000,000000000000010000000010000000000000,31,4.03
3253,21,0,7,6,playing,000000000000000000000001100000010000,000000000000110000000010000000000000,14,9.683
3191,21,0,3,20,playing,000000000010010000001010100110101100,100010000001101100010001000001010000,7,4.715
3204,21,1,4,3,playing,000000000000100000000010000000000000,000000000000001000000000000000000000,32,4.658
3267,21,0,7,20,playing,001000100000001110000001100010010001,000010010010110001000010010000001100,11,6.084
3129,21,1,0,13,playing,000000000011000000010001000011100000,010000000000000000001110000100010000,13,19.075
3216,21,0,5,2,playing,000000000000000000000010000000000000,000000000000100000000000000000000000,23,10.033
3310,21,0,9,26,playing,000010100010001110011101000000011100,000001010001110001100010100110100010,29,3.968
3308,21,0,9,24,playing,000000100010001110011101000000011100,000001010001110001100010100010100010,4,25.287
3185,21,0,3,14,playing,000000000010010000001010000110100000,100010000001101000010000000001000000,33,46.76
3220,21,0,5,6,playing,000000000000000000000011000000010000,000000000000110000000100000000000000,14,32.286
3123,21,1,0,7,playing,000000000010000000000000000011100000,000000000000000000001100000000010000,27,2.694
3177,21,0,3,6,playing,000000000010000000001000000010000000,000000000001100000010000000000000000,30,6.817
3171,21,0,3,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,20,1.852
3243,21,1,6,5,playing,000000000000100000000011000000000000,000000000000001000000000100000000000,32,6.784
3230,21,0,5,16,playing,000100000000001100000011100001010000,000001010000110000001100010000100000,34,9.258
3146,21,1,2,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,21,9.255
3156,21,1,2,11,playing,000001000000101000001010000000100000,000000100000010000000100000001001000,31,23.572
3276,21,1,8,1,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,24,2.856
3257,21,0,7,10,playing,001000000000001000000001100000010000,000010000000110000000010000000001000,15,44.883
3298,21,0,9,14,playing,000000100000001100000101000000011000,000001010001110000000010100000000000,10,9.734
3119,21,1,0,3,playing,000000000010000000000000000000100000,000000000000000000000000000000010000,20,3.058
3208,21,1,4,7,playing,000001000000100000001010000000000000,000000000000001000000001000000001000,4,20.718
3199,21,0,3,28,playing,000100010010010001001010100110101101,100011000001101110010001010001010010,26,17.444
3280,21,1,8,5,playing,000000000001010000000100000000000000,000000000000000000000000100001000000,31,11.923
3202,21,1,4,1,playing,000000000000000000000010000000000000,000000000000000000000000000000000000,14,6.878
3143,21,0,1,8,playing,000000000000000000010010000001010000,000000000001110000000100000000000000,10,2.669
3290,21,0,9,6,playing,000000000000000000000101000000010000,000000000001010000000010000000000000,15,10.969
