,subject,color,gi,mi,status,bp,wp,response,rt
0,0,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,2.582
1,0,0,0,2,playing,000000000000010000000000000000000000,000000000000000000000000000000000010,33,19.015
2,0,0,0,4,playing,000000000000010000000000000000000100,000000000000001000000000000000000010,23,4.04
3,0,0,0,6,win,000000000000010000000001000000000100,000000000000001000010000000000000010,3,1.421
4,0,1,1,1,playing,000010000000000000000000000000000000,000000000000000000000000000000000000,13,2.64
5,0,1,1,3,playing,000011000000000000000000000000000000,000000000000010000000000000000000000,3,2.936
6,0,1,1,5,playing,000011000000001000000000000000000000,000100000000010000000000000000000000,23,5.36
7,0,1,1,7,playing,000011000000001000000000000000000100,000100000000010000000001000000000000,24,6.026
8,0,1,1,9,playing,000011000000001000000010000000000100,000100000000010000000001100000000000,30,28.83
9,0,1,1,11,playing,000011000000001000000010000000001100,000100000000010000000001100000100000,31,13.302
10,0,1,1,13,playing,000011000000001000000010000000001101,000100000000010000000001100000110000,34,3.382
11,0,1,1,15,playing,000011000000101000000010000000001101,000100000000010000000001100000110010,2,3.347
12,0,1,1,17,playing,000011000000101000000010000010001101,001100000000010000000001100000110010,20,2.9
13,0,1,1,19,playing,000011010000101000000010000010001101,001100000000010000001001100000110010,6,1.753
14,0,1,1,21,playing,000011010000101000000010010010001101,001100100000010000001001100000110010,15,2.932
15,0,1,1,23,playing,000011010001101000000010010010001101,001100100000010100001001100000110010,10,9.782
16,0,1,1,25,playing,100011010001101000000010010010001101,001100100010010100001001100000110010,18,29.308
17,0,1,1,27,playing,100011010001101001000010010010001101,001100100010010100101001100000110010,19,33.98
18,0,1,1,29,playing,100011010001101001000110010010001101,001100100010010100111001100000110010,8,16.072
19,0,1,1,31,playing,100011010001101001000110010110001101,001100101010010100111001100000110010,29,7.392
20,0,1,1,33,playing,100011010001101011000110010110001101,001100101010010100111001100001110010,26,2.477
21,0,1,1,35,draw,100011010101101011000110010110001101,001100101010010100111001101001110010,1,1.188
22,0,0,2,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,2.004
23,0,0,2,2,playing,000000000000010000000000000000000000,000000000000000000000000000000000010,22,14.479
24,0,0,2,4,playing,000000000000010000000010000000000000,000010000000000000000000000000000010,14,3.062
25,0,0,2,6,playing,000000000000011000000010000000000000,000010000000100000000000000000000010,23,18.003
26,0,0,2,8,playing,000000000000011000000011000000000000,100010000000100000000000000000000010,5,29.752
27,0,0,2,10,playing,000001000000011000000011000000000000,100010000000100000000000000000001010,21,3.381
28,0,0,2,12,win,000001000000011000000111000000000000,100010000000100000001000000000001010,24,4.151
29,0,1,3,1,playing,000000000000000000000001000000000000,000000000000000000000000000000000000,13,5.218
30,0,1,3,3,playing,000000000000000000000011000000000000,000000000000010000000000000000000000,21,8.349
31,0,1,3,5,playing,000000000000000000000011000000100000,000000000000010000000100000000000000,12,38.654
32,0,1,3,7,playing,000000000000001000000011000000100000,000000000000110000000100000000000000,6,1.903
33,0,1,3,9,playing,000001000000001000000011000000100000,000000100000110000000100000000000000,32,2.351
34,0,1,3,11,playing,000001000000001000000011100000100000,000000100000110000000100000000001000,25,3.006
35,0,1,3,13,playing,000001000000001000000011100000110000,000000100000110000000100010000001000,11,37.554
36,0,1,3,15,playing,000001000010001000000011100000110000,000000100001110000000100010000001000,20,3.025
37,0,1,3,17,playing,000001000010001100000011100000110000,000000100001110000001100010000001000,7,4.408
38,0,1,3,19,playing,000001000010001110000011100000110000,000000110001110000001100010000001000,17,4.229
39,0,1,3,21,playing,000011000010001110000011100000110000,000000110001110001001100010000001000,34,5.693
40,0,1,3,23,playing,000011000010001110000011100001110000,000000110001110001001100010000001010,28,7.111
41,0,1,3,25,playing,000111000010001110000011100001110000,000000110001110001001100010010001010,2,3.292
42,0,1,3,27,playing,000111000010001110000011100001110100,001000110001110001001100010010001010,9,40.529
43,0,1,3,29,playing,000111000010001110000011100101110100,001000110101110001001100010010001010,8,9.079
44,0,1,3,31,playing,100111000010001110000011100101110100,001000111101110001001100010010001010,26,9.248
45,0,1,3,33,win,110111000010001110000011100101110100,001000111101110001001100011010001010,35,1.613
46,0,0,4,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,1.915
47,0,0,4,2,playing,000000000000010000000000000000000000,000000000001000000000000000000000000,22,3.405
48,0,0,4,4,playing,000000000000010000000010000000000000,000100000001000000000000000000000000,14,20.02
49,0,0,4,6,playing,000000000000011000000010000000000000,000100000001000100000000000000000000,23,53.164
50,0,0,4,8,playing,000000000000011000000011000000000000,000100000001000100001000000000000000,24,13.686
51,0,0,4,10,win,000000000000011000000011100000000000,010100000001000100001000000000000000,21,1.325
52,0,1,5,1,playing,000010000000000000000000000000000000,000000000000000000000000000000000000,13,2.383
53,0,1,5,3,playing,000010000000001000000000000000000000,000000000000010000000000000000000000,23,14.261
54,0,1,5,5,playing,000010000000001000000000100000000000,000000000000010000000001000000000000,34,1.776
55,0,1,5,7,playing,000110000000001000000000100000000000,000000000000010000000001000000000010,5,5.348
56,0,1,5,9,playing,000110000000001000000100100000000000,000001000000010000000001000000000010,15,17.874
57,0,1,5,11,playing,001110000000001000000100100000000000,000001000000010100000001000000000010,1,1.673
58,0,1,5,13,playing,001110000000101000000100100000000000,010001000000010100000001000000000010,30,1.182
59,0,1,5,15,playing,001110000000101000001100100000000000,010001000000010100000001000000100010,28,1.778
60,0,1,5,17,playing,001110000000101000011100100000000000,010001000000010100000001000010100010,22,3.432
61,0,0,6,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,1.05
62,0,0,6,2,playing,000000000000010000000000000000000000,000000000000000000000010000000000000,14,5.552
63,0,0,6,4,playing,000000000000011000000000000000000000,000000000000100000000010000000000000,32,2.828
64,0,0,6,6,playing,000000000000011000000000000000001000,000000000000100000000011000000000000,21,3.581
65,0,0,6,8,playing,000000000000011000000100000000001000,000010000000100000000011000000000000,29,6.575
66,0,0,6,10,playing,000000000000011000000100000001001000,000011000000100000000011000000000000,11,31.012
67,0,0,6,12,playing,000000000001011000000100000001001000,000111000000100000000011000000000000,2,6.154
68,0,1,7,1,playing,000010000000000000000000000000000000,000000000000000000000000000000000000,13,1.464
69,0,1,7,3,playing,000011000000000000000000000000000000,000000000000010000000000000000000000,3,11.13
70,0,1,7,5,playing,000011010000000000000000000000000000,000100000000010000000000000000000000,6,1.353
71,0,1,7,7,playing,000011010000000000000001000000000000,000100100000010000000000000000000000,14,4.436
72,0,1,7,9,playing,000011010000000100000001000000000000,000100100000011000000000000000000000,31,1.13
73,0,1,7,11,playing,000011010000000100000001010000000000,000100100000011000000000000000010000,35,1.43
74,0,1,7,13,playing,000011010000000100000011010000000000,000100100000011000000000000000010001,24,2.869
75,0,1,7,15,playing,000011010000000100000011010000000010,000100100000011000000000100000010001,16,1.699
