,subject,color,gi,mi,status,bp,wp,response,rt
498,2,1,25,1,playing,000000001000000000000000000000000000,000000000000000000000000000000000000,15,1.563
469,2,1,21,1,playing,000000000000000000000000000000001000,000000000000000000000000000000000000,20,1.625
378,2,1,7,11,win,000001000000000100000011000000001010,000010000000101000001000100000000000,28,2.67
338,2,1,1,3,playing,000000000000000000000000000000011000,000000000000010000000000000000000000,33,0.934
552,2,1,33,3,playing,000000000000000000001000000000100000,000000000000000000000000000000010000,7,2.525
569,2,1,35,17,playing,000000000101001011010100000100010000,010100010000000100100000000011100000,12,2.511
546,2,0,32,2,playing,000000000000000000000000000001000000,000000001000000000000000000000000000,30,1.531
350,2,1,3,1,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,14,2.023
478,2,0,22,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,23,1.147
501,2,1,25,7,playing,000001001000010010000000000000000000,000000000000001101000000000000000000,24,1.144
365,2,1,5,7,playing,000000000000000000101100000100000000,000000000000001000010010000000000000,9,1.196
444,2,0,16,10,playing,000001000000000000010101000001000000,000110000001010000001000000000000000,22,1.191
396,2,0,10,6,playing,000000000000010000000101000000000000,001000000000100000001000000000000000,29,13.314
387,2,0,8,16,playing,010100000011000000010110000000100000,101000000000100000001000000110010100,14,16.878
522,2,0,28,2,playing,000000000000000000001000000000000000,000000000000000000000010000000000000,21,4.261
349,2,0,2,16,playing,001000100001110100001001000000000000,010110000010001000000010100001000000,7,5.713
544,2,1,31,5,playing,000111000000000000000000000000000000,000000000000000000000100000000010000,2,1.443
391,2,1,9,7,playing,000100000001000000000100000000010000,010000000000000000000010100000000000,19,4.879
494,2,0,24,8,playing,000010100000000100000001000000000000,000001000000001000000000100000010000,33,5.33
433,2,1,15,1,playing,000000000000000000000000000000100000,000000000000000000000000000000000000,22,1.667
401,2,1,11,7,win,000000000000000000000110000000110000,000000000001000000001000000001000000,2,1.538
380,2,0,8,2,playing,000000000001000000000000000000000000,100000000000000000000000000000000000,21,2.545
414,2,0,12,24,playing,001101010001100000001010100010100010,000010100000010111000101000001011100,14,0.841
406,2,0,12,8,playing,000000000000100000001010000010000000,000010000000000001000100000000010000,2,8.367
571,2,1,35,21,playing,100010000101001011010100000100010000,011100010000100100100000000011100000,32,6.828
382,2,0,8,6,playing,010000000001000000000100000000000000,101000000000000000000000000000010000,30,5.487
344,2,0,2,6,playing,000000000001110000000000000000000000,000010000010001000000000000000000000,23,4.413
429,2,0,14,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,1.052
381,2,0,8,4,playing,000000000001000000000100000000000000,101000000000000000000000000000000000,1,1.895
362,2,1,5,1,playing,000000000000000000000100000000000000,000000000000000000000000000000000000,14,0.813
499,2,1,25,3,playing,000001001000000000000000000000000000,000000000000000100000000000000000000,14,3.158
506,2,1,25,17,playing,000011101000010010000111000000000000,000100010000001101000000100001000010,31,1.602
470,2,1,21,3,playing,000000000000000000000000000000011000,000000000000000000001000000000000000,30,1.394
550,2,0,32,10,win,000000010000000100000000000001110000,000000101000000000110000000000001000,28,0.838
473,2,1,21,9,playing,100000000000000000000001100000011000,000000000011000000001000000000100000,2,5.072
545,2,0,32,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,29,11.75
368,2,1,5,13,playing,000000000010000000101100000101100000,100000000100101000010010000000000000,13,3.887
529,2,1,29,3,playing,001000000000000000000000000010000000,000000000000000000001000000000000000,21,1.386
424,2,1,13,9,playing,000100000000011000000010000010000000,000010000000100000001100000000000000,19,5.823
539,2,0,30,8,playing,001100000000000000000000000011000000,000001000000100000000001000000100000,19,2.797
439,2,0,16,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,21,1.014
455,2,0,18,6,playing,000010000000100000001000000000000000,000100000000001000000000000010000000,21,3.853
445,2,0,16,12,playing,000001000000000000010111000001000000,000110000001010000001000100000000000,14,1.085
438,2,1,15,11,playing,001000000000010000000100000001110000,000000000001100000000010000010001000,20,0.903
538,2,0,30,6,playing,000100000000000000000000000011000000,000001000000100000000000000000100000,2,4.854
549,2,0,32,8,playing,000000010000000100000000000001100000,000000101000000000100000000000001000,31,1.637
503,2,1,25,11,playing,000001101000010010000001000000000000,000000010000001101000000100000000000,34,11.026
440,2,0,16,2,playing,000000000000000000000100000000000000,000100000000000000000000000000000000,23,2.067
512,2,1,27,1,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,21,1.909
447,2,0,16,16,playing,000001000000001010010111000001000000,000110000001110000001000100000001000,10,2.554
435,2,1,15,5,playing,000000000000000000000100000000110000,000000000000000000000010000000001000,12,1.257
419,2,0,12,34,playing,011101010101101000111010100010100010,100010100010010111000101011101011100,8,0.856
388,2,1,9,1,playing,000000000000000000000100000000000000,000000000000000000000000000000000000,22,1.247
376,2,1,7,7,playing,000001000000000000000011000000000010,000010000000001000000000100000000000,20,7.025
472,2,1,21,7,playing,100000000000000000000001000000011000,000000000010000000001000000000100000,11,0.882
468,2,0,20,12,win,000100000001110000010001000000000000,000000000010001000001010000010000100,27,1.906
394,2,0,10,2,playing,000000000000010000000000000000000000,000000000000100000000000000000000000,21,3.529
450,2,1,17,5,playing,000000000000011000000010000000000000,000000000000100000000100000000000000,3,2.636
531,2,1,29,7,playing,001100000000000000010000000010000000,000000000010000000001100000000000000,0,1.686
346,2,0,2,10,playing,000000000001110000001001000000000000,000110000010001000000010000000000000,6,1.929
375,2,1,7,5,playing,000001000000000000000011000000000000,000000000000001000000000100000000000,4,3.481
432,2,0,14,6,win,000000000000000000000111000000000000,000000000000010000000000100000100000,20,1.245
347,2,0,2,12,playing,000000100001110000001001000000000000,010110000010001000000010000000000000,2,1.544
521,2,0,28,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,20,1.213
353,2,1,3,7,playing,000001000000100000000010000000100000,000000000000001000000001000000001000,31,4.174
340,2,1,1,7,win,000000000000000000000000000101011000,000000000000010000000001000000000100,3,1.125
348,2,0,2,14,playing,001000100001110000001001000000000000,010110000010001000000010000001000000,15,5.336
436,2,1,15,7,playing,001000000000000000000100000000110000,000000000000100000000010000000001000,11,3.93
403,2,0,12,2,playing,000000000000000000000000000010000000,000000000000000001000000000000000000,20,1.004
408,2,0,12,12,playing,001000000001100000001010000010000000,000010000000000001000100000001011000,30,1.1
389,2,1,9,3,playing,000000000000000000000100000000010000,000000000000000000000010000000000000,24,11.867
532,2,1,29,9,playing,001100000000000000010000000010100000,100000000010000000001100000000000000,11,4.699
558,2,0,34,2,playing,000000000000000000000000000000100000,000000000000000000000100000000000000,29,3.274
568,2,1,35,15,playing,000000000101000011010100000100010000,010000010000000100100000000011100000,3,1.25
425,2,1,13,11,playing,000100000000011000100010000010000000,000010000000100000011100000000000000,29,11.966
355,2,1,3,11,playing,000111000000100000000010000000100000,000000000000001000000101000000011000,2,6.227
384,2,0,8,10,playing,010100000001000000000100000000100000,101000000000100000000000000000010100,19,1.161
525,2,0,28,8,playing,000010000000100000001100000000000000,000000000000010000000010000010100000,29,0.755
477,2,1,21,17,playing,100000000000100100000001100001011100,001000000111000000001010000000100010,6,1.559
374,2,1,7,3,playing,000000000000000000000011000000000000,000000000000001000000000000000000000,24,6.185
556,2,1,33,11,playing,000000000000111000001100000000100000,000101010000000000000010000000010000,15,1.353
372,2,0,6,6,win,000000000001000000001000000001000000,000000000000001011000000000000000000,2,5.825
361,2,0,4,10,win,000010000001100000001000000001000000,000000000100010000000110000010000000,2,1.167
427,2,1,13,15,playing,000100000000011100100011000010000000,000010000000100000011100000001000100,16,1.703
399,2,1,11,3,playing,000000000000000000000100000000010000,000000000000000000000000000001000000,11,2.796
409,2,0,12,14,playing,001000000001100000001010000010100000,000010000000010001000100000001011000,5,2.171
342,2,0,2,2,playing,000000000001000000000000000000000000,000010000000000000000000000000000000,13,0.793
502,2,1,25,9,playing,000001101000010010000000000000000000,000000000000001101000000100000000000,7,0.749
496,2,0,24,12,playing,000010100000100100000001000000000100,000001000000011000000000100001010000,21,4.983
481,2,0,22,6,playing,000000000000000000000011000000010000,000000000000010000000100000000100000,5,5.019
480,2,0,22,4,playing,000000000000000000000001000000010000,000000000000000000000100000000100000,22,1.443
565,2,1,35,9,playing,000000000100000011000100000000010000,000000010000000100000000000001100000,28,2.128
493,2,0,24,6,playing,000010100000000100000000000000000000,000001000000001000000000100000000000,23,4.216
504,2,1,25,13,playing,000011101000010010000001000000000000,000000010000001101000000100000000010,3,1.659
400,2,1,11,5,playing,000000000000000000000110000000010000,000000000001000000000000000001000000,20,2.33
508,2,0,26,2,playing,000000000000010000000000000000000000,000000000000000010000000000000000000,22,0.614
442,2,0,16,6,playing,000000000000000000010101000000000000,000100000001000000001000000000000000,29,4.006
428,2,1,13,17,playing,000101000000011100100011000010000000,000010000000100010011100000001000100,25,2.631
562,2,1,35,3,playing,000000000000000010000100000000000000,000000000000000000000000000001000000,30,2.109
448,2,1,17,1,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,21,0.833
541,2,0,30,12,win,001100000001000000010000000011000000,000001000010100100000001000000100000,20,1.086
510,2,0,26,6,playing,000000000000010000000011000000000000,000000000000000010000100000000010000,24,1.055
462,2,0,20,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,3,1.583
430,2,0,14,2,playing,000000000000000000000010000000000000,000000000000000000000000100000000000,23,1.059
383,2,0,8,8,playing,010000000001000000000100000000100000,101000000000000000000000000000010100,3,6.876
533,2,1,29,11,playing,001110000000000000010000000010100000,100000000011000000001100000000000000,5,2.243
360,2,0,4,8,playing,000010000001100000001000000000000000,000000000000010000000110000010000000,29,2.063
464,2,0,20,4,playing,000100000000010000000000000000000000,000000000000001000000010000000000000,23,3.743
517,2,1,27,11,playing,010000000000111000001010000000000000,000010000001000100000100000000010000,23,4.055
528,2,1,29,1,playing,001000000000000000000000000000000000,000000000000000000000000000000000000,20,1.096
527,2,0,28,12,win,000010000000100000011100000001000000,001000000100010000000010000010100000,18,0.912
475,2,1,21,13,playing,100000000000100000000001100001011000,001000000111000000001000000000100000,22,0.852
446,2,0,16,14,playing,000001000000001000010111000001000000,000110000001010000001000100000001000,16,5.512
357,2,0,4,2,playing,000000000001000000000000000000000000,000000000000000000000010000000000000,12,0.872
395,2,0,10,4,playing,000000000000010000000100000000000000,000000000000100000001000000000000000,23,3.642
449,2,1,17,3,playing,000000000000011000000000000000000000,000000000000000000000100000000000000,12,3.254
410,2,0,12,16,playing,001001000001100000001010000010100000,000010000000010001000100000001011100,34,1.148
487,2,1,23,9,playing,000101000000000100000001000000010000,000010000000010000000010010000000000,7,1.474
507,2,0,26,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,0.834
420,2,1,13,1,playing,000000000000001000000000000000000000,000000000000000000000000000000000000,21,1.804
