,subject,color,gi,mi,status,bp,wp,response,rt
1246,6,1,5,5,playing,000001000000001000000000000000100000,000000000001000000000000000001000000,12,16.973
1278,6,1,9,13,playing,000000000000111000000010000000111000,000010100001000100001100000000000000,33,17.312
1292,6,0,12,2,playing,000000000000001000000000000000000000,000000010000000000000000000000000000,12,9.274
1240,6,0,4,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,21,3.596
1248,6,1,5,9,playing,000011100000001000000000000000100000,000000000001100000000010000001000000,3,11.717
1262,6,1,7,11,win,001110000000101000000010000000000000,010001000000000000000101000001000000,13,1.807
1308,6,0,14,4,playing,000100000000001000000000000000000000,000011000000000000000000000000000000,13,12.825
1306,6,0,14,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,14,2.788
1249,6,0,6,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,6.524
1298,6,1,13,5,playing,000000000000001000000001000000010000,000000000000110000000000000000000000,10,15.204
1274,6,1,9,5,playing,000000000000110000000010000000000000,000000000000000000001100000000000000,11,15.221
1264,6,0,8,2,playing,000000000000100000000000000000000000,000000000000001000000000000000000000,21,3.594
1269,6,0,8,12,playing,000100000101100000001100000000000000,000000000010011000000001000000101000,5,4.254
1215,6,1,1,5,playing,000000000010000000000000000010100000,000000000001000000001000000000000000,31,27.387
1232,6,1,3,5,playing,000110000000010000000000000000000000,000001000000000000000100000000000000,23,21.245
1311,6,0,14,10,playing,000100000001011000001000000000000000,000011000000100100000000010000000000,35,3.837
1220,6,1,1,15,playing,010100001010000000000100000011100000,000000000001100000011010000100010000,15,16.404
1238,6,1,3,17,playing,000110010000011000000010100000100001,000001100000000100000101010000010100,18,41.785
1296,6,1,13,1,playing,000000000000000000000000000000010000,000000000000000000000000000000000000,13,9.562
1312,6,0,14,12,playing,000100000001011000001000000000000001,000011000000100100000001010000000000,32,31.477
1228,6,0,2,8,playing,000000000000101000000000000010001000,000000000000000000000010000001110000,11,32.204
1253,6,0,6,8,playing,000000000000110000000110000000000000,000000000000001000000001100000001000,5,7.389
1283,6,0,10,8,playing,000000000000010100000000000001000100,000000000000000000000100000000111000,14,8.338
1237,6,1,3,15,playing,000110010000011000000010000000100001,000001000000000100000101010000010100,6,5.792
1302,6,1,13,13,playing,000100000001001000000011000001010000,000001000010110000000100000000100000,7,16.068
1279,6,0,10,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,15,3.793
1275,6,1,9,7,playing,000000000000111000000010000000000000,000000000001000000001100000000000000,15,3.994
1303,6,1,13,15,playing,000100000001001000010011000001010000,000001010010110000000100000000100000,27,4.962
1206,6,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,11,26.147
1263,6,0,8,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,12,3.247
1245,6,1,5,3,playing,000001000000000000000000000000100000,000000000000000000000000000001000000,11,22.425
1260,6,1,7,7,playing,001110000000001000000000000000000000,010001000000000000000001000000000000,21,13.937
1300,6,1,13,9,playing,000000000001001000000011000000010000,000001000010110000000000000000000000,21,10.739
1223,6,1,1,21,win,010101001010000000000101000011100010,000000000001101101011010000100010000,13,2.554
1225,6,0,2,2,playing,000000000000100000000000000000000000,000000000000000000000000000000100000,14,6.688
1221,6,1,1,17,playing,010100001010000000000101000011100000,000000000001100100011010000100010000,17,15.03
1233,6,1,3,7,playing,000110000000010000000010000000000000,000001000000000000000101000000000000,31,5.852
1254,6,0,6,10,playing,000001000000110000000110000000000000,000000000000001000000001100001001000,10,51.238
1265,6,0,8,4,playing,000000000000100000000100000000000000,000000000000001000000001000000000000,11,9.065
1242,6,0,4,4,playing,000000000000000000000101000000000000,000000010000000000000000000000010000,22,10.34
1266,6,0,8,6,playing,000000000001100000000100000000000000,000000000000011000000001000000000000,3,31.932
1226,6,0,2,4,playing,000000000000101000000000000000000000,000000000000000000000000000000110000,32,5.254
1294,6,0,12,6,playing,000000000000101000000010000000000000,000000110000010000000000000000000000,23,24.652
1301,6,1,13,11,playing,000000000001001000000011000001010000,000001000010110000000100000000000000,30,17.493
1239,6,1,3,19,playing,000110010001011000000010100000100001,000001100000000100100101010000010100,12,5.185
1276,6,1,9,9,playing,000000000000111000000010000000010000,000000000001000100001100000000000000,4,4.097
1256,6,0,6,14,win,000001000010110000000110000000100000,000000000000001100000001100001011000,11,2.162
1281,6,0,10,4,playing,000000000000010100000000000000000000,000000000000000000000000000000011000,33,4.945
1209,6,0,0,6,playing,000000000001000000010000000100000000,000100000000000000000000000000011000,30,7.74
1277,6,1,9,11,playing,000000000000111000000010000000110000,000010000001000100001100000000000000,6,11.453
1285,6,1,11,1,playing,000000000000000000000001000000000000,000000000000000000000000000000000000,12,2.394
1286,6,1,11,3,playing,000000000000000000000101000000000000,000000000000100000000000000000000000,22,3.995
1213,6,1,1,1,playing,000000000010000000000000000000000000,000000000000000000000000000000000000,11,3.524
1310,6,0,14,8,playing,000100000001011000000000000000000000,000011000000100100000000000000000000,20,28.471
