,subject,color,gi,mi,status,bp,wp,response,rt
0,10,0,0,0,playing,000000000000001000000000000000000000,000000000000010000000000000000000000,22,2933
0,10,0,0,0,playing,000110000001001010010110100000111000,010000101000110000001001010101000110,17,29144
0,10,1,0,0,playing,000000000000001000000000100000000000,000000000000010000000000000000000000,23,4933
0,10,1,0,0,playing,000000000000101000000000100000000000,000000000000010000000001000000000000,21,20025
0,10,0,0,0,playing,000111000101001011010110100000111000,011000101010110100001001010101000110,28,18671
0,10,0,0,0,playing,000111000001001011010110100000111000,011000101000110100001001010101000110,9,42929
0,10,0,0,0,playing,000000000001010000000100000000000000,000010000000100000001000000000000000,28,1336
0,10,0,0,0,playing,000001000000010000000001000000000000,000000000000000100010010000000000000,21,18932
0,10,1,0,0,playing,001000000000010000000000100000010100,000000000000100000000110000000001000,14,10778
0,10,0,0,0,playing,000000000000001000000110000000100000,000000100000010000001001000000000000,31,30081
0,10,1,0,0,playing,000000000001010000000000000000000000,000000000000000000000001000000000000,21,7034
0,10,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,5883
0,10,1,0,0,playing,000000000000010000000011000000000010,000010000000001000000000100000000000,32,10346
0,10,1,0,0,playing,000000000000010000000010000000000000,000000000000001000000000000000000000,4,4538
0,10,0,0,0,playing,000000000000001000000010000000000000,000000000000010000000001000000000000,30,19033
0,10,0,0,0,playing,000001000000010000000101000000000000,000000000000000100010010000001000000,3,6323
0,10,1,0,0,playing,000000000000010000000000100000010100,000000000000100000000110000000000000,32,16077
0,10,0,0,0,playing,000100000001001000000110000000110000,010000100000110000001001000001000000,19,14311
0,10,0,0,0,playing,000100000001001000010110000000110000,010000100000110000001001000101000000,32,12366
0,10,0,0,0,playing,000101000000010000000101000000000000,000010000000000000000000110001000100,14,50756
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000001000000000000000,11,2599
0,10,0,0,0,playing,000000000001010000000100000011000000,000011000000100000001000000000010000,19,15247
0,10,1,0,0,playing,000000100000101000001000100000000000,000010000000010000000101000000000000,3,36951
0,10,1,0,0,playing,000000000000101000001000100000000000,000000000000010000000101000000000000,4,9428
0,10,0,0,0,playing,000000000000001000000010000000100000,000000100000010000000001000000000000,21,5285
0,10,1,0,0,playing,000011100001001010000101000000000010,000000000010010100000010110000001100,7,8235
0,10,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,14,3900
0,10,0,0,0,playing,000000000000010000000101000000000000,000010000000000000000000110000000000,5,35100
0,10,0,0,0,playing,000100000001001000010110000000111000,010000100000110000001001000101000100,4,19032
0,10,0,0,0,playing,000000000000111000000001000000000000,000000000000000100000010000000101000,11,12105
0,10,1,0,0,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,23,7259
0,10,1,0,0,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,12,2715
0,10,0,0,0,playing,000000000001010000000100000000000000,001000000000000000001000000000010000,12,7007
0,10,0,0,0,playing,000110000001001000010110000000111000,010000100000110000001001010101000100,24,26912
0,10,0,0,0,playing,000000000000010000000001000000000000,000000000000000000000010000000100000,14,2417
0,10,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,3867
0,10,1,0,0,playing,000000000000010000000000100000000000,000000000000100000000000000000000000,21,1897
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000001000000000000000,21,10913
0,10,1,0,0,playing,000100000000010100001011000000000010,000010000000001000000100100000001100,31,11170
0,10,0,0,0,playing,000000000001010000000100000010000000,000010000000100000001000000000010000,29,3265
0,10,1,0,0,playing,000100000000010000001011000000000010,000010000000001000000100100000001000,33,1687
0,10,1,0,0,playing,000000100000001010000101000000000010,000000000000000100000010110000000100,10,39193
0,10,0,0,0,playing,100111000101001011010110100010111000,011000101010110100101001011101000110,35,1174
0,10,0,0,0,playing,000101000000110000000101000000000000,000000000000000100010010100001000100,30,6110
0,10,0,0,0,playing,000000000001010000010100000011000000,000111000000100000001000000000010000,2,8993
0,10,1,0,0,playing,000000000000001010000000000000000010,000000000000000100000010000000000000,24,14113
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000000000100000000000,21,3113
0,10,0,0,0,playing,000001000000010000000101000000000000,000010000000000000000000110001000000,3,21345
0,10,1,0,0,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,14,4108
0,10,0,0,0,playing,000000000001001000000110000000110000,010000100000010000001001000001000000,3,13076
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000000010000000000000,23,4961
0,10,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,7500
0,10,0,0,0,playing,000000000001010000000000000000000000,000000000000100000001000000000000000,21,3231
0,10,1,0,0,playing,000000000000001010000100000000000010,000000000000000100000010100000000000,25,29527
0,10,1,0,0,playing,000000000000001010000101000000000010,000000000000000100000010110000000000,33,85859
0,10,1,0,0,playing,000000000001110000000000000000000000,000000000000000000000101000000000000,5,1826
0,10,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,3631
0,10,0,0,0,playing,000101000000111000000101000000000000,000010000000000000000000110001011100,11,1629
0,10,0,0,0,playing,000101000000011000000101000000000000,000010000000000000000000110001001100,12,2161
0,10,1,0,0,playing,000100000000010100001011000000100010,000010000000001000000100100000011100,11,62911
0,10,1,0,0,playing,000000000000001000000000000000000000,000000000000000000000000000000000000,13,5319
0,10,1,0,0,playing,000000000000010000000011000000000000,000010000000001000000000000000000000,24,2703
0,10,1,0,0,playing,000000000000010000000000100000010000,000000000000100000000100000000000000,22,3576
0,10,1,0,0,playing,000000100001001010000101000000000010,000000000010000100000010110000000100,13,27401
0,10,1,0,0,playing,001000100000010000000000100000010100,000000000000101000000110000000001000,23,3071
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000000010000000000000,23,12807
0,10,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,7120
