,subject,color,gi,mi,status,bp,wp,response,rt
0,10,0,0,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,13,3867
0,10,1,0,0,playing,000000000000010000000000100000000000,000000000000100000000000000000000000,21,1897
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000001000000000000000,21,10913
0,10,1,0,0,playing,000100000000010100001011000000000010,000010000000001000000100100000001100,31,11170
0,10,0,0,0,playing,000000000001010000000100000010000000,000010000000100000001000000000010000,29,3265
0,10,1,0,0,playing,000100000000010000001011000000000010,000010000000001000000100100000001000,33,1687
0,10,1,0,0,playing,000000100000001010000101000000000010,000000000000000100000010110000000100,10,39193
0,10,0,0,0,playing,100111000101001011010110100010111000,011000101010110100101001011101000110,35,1174
0,10,0,0,0,playing,000101000000110000000101000000000000,000000000000000100010010100001000100,30,6110
0,10,0,0,0,playing,000000000001010000010100000011000000,000111000000100000001000000000010000,2,8993
0,10,1,0,0,playing,000000000000001010000000000000000010,000000000000000100000010000000000000,24,14113
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000000000100000000000,21,3113
0,10,0,0,0,playing,000001000000010000000101000000000000,000010000000000000000000110001000000,3,21345
0,10,1,0,0,playing,000000000000010000000000000000000000,000000000000000000000000000000000000,14,4108
0,10,0,0,0,playing,000000000001001000000110000000110000,010000100000010000001001000001000000,3,13076
0,10,0,0,0,playing,000000000000010000000000000000000000,000000000000000000000010000000000000,23,4961
