,subject,color,gi,mi,status,bp,wp,response,rt
801,2.0,1,17,1,playing,000001000000000000000000000000000000,000000000000000000000000000000000000,19,2.681
650,2.0,1,5,25,playing,100010001001110000010001000000110111,001101100010001000000110111000001000,15,2.774
789,2.0,0,16,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,20,2.028
861,2.0,0,20,14,playing,000110010001001000001010000000000000,001000100000100100000101000000010000,24,7.647
590,2.0,1,3,7,playing,010000000011000000010000000000000000,000000000000101000000100000000000000,28,1.962
684,2.0,0,8,8,playing,011000000001000000000100000000000000,000110000000010000000000000000010000,20,13.019
855,2.0,0,20,8,playing,000010000001000000001010000000000000,000000000000100000000101000000010000,3,9.449
613,2.0,0,4,8,playing,000000100000001100000010000000000000,000110000000100000000000000000100000,21,2.128
572,2.0,1,1,7,playing,000000000000001000000010000001001000,000001000000010000000100000000000000,12,3.246
558,2.0,0,0,6,playing,100000000010100000000000000000000000,000000000000000000000000010001100000,28,6.924
705,2.0,1,9,19,playing,000110010000011100000011000000101000,000001100010100010000100110000010000,1,11.281
663,2.0,1,7,1,playing,000000000000100000000000000000000000,000000000000000000000000000000000000,23,1.64
812,2.0,0,18,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,20,1.969
630,2.0,1,5,5,playing,000000000000000000000000000000000111,000000000000000000000000110000000000,32,1.065
803,2.0,1,17,3,playing,000001000000000000100000000000000000,000000000000000000010000000000000000,21,1.269
863,2.0,0,20,16,playing,000110010001001000001010100000000000,001000100000100100000101000000010010,8,22.584
736,2.0,0,12,12,playing,000000000000011000000001000001000101,000101000000100100000000011000000000,31,19.823
669,2.0,1,7,7,playing,000000000000101000000100000000000001,000000000000000000000011000000100000,31,4.854
865,2.0,0,20,18,playing,000110011001001000001010100000000000,001000100000100100000101000000011010,33,8.879
859,2.0,0,20,12,playing,000110000001001000001010000000000000,001000000000100100000101000000010000,7,3.233
626,2.0,1,5,1,playing,000000000000000000000000000000000001,000000000000000000000000000000000000,25,1.996
758,2.0,1,13,15,playing,000011010000101000000000000000001110,000100100000010000001001100000010000,35,1.794
697,2.0,1,9,11,playing,000000010000001100000011000000001000,000001000000000010000000110000010000,21,9.486
762,2.0,1,13,19,playing,000011010000101000000000010010001110,000100100000010000001001100001010001,2,10.403
847,2.0,0,20,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,20,2.184
680,2.0,0,8,4,playing,000000000001000000000100000000000000,000110000000000000000000000000000000,2,6.721
720,2.0,1,11,5,playing,000010000000000000000100000010000000,000000000000000100000010000000000000,17,3.938
598,2.0,1,3,15,playing,110100000011000000011010000000000000,001010000000101000000100000110000000,30,3.249
562,2.0,0,0,10,playing,100000000010100000010000000010000000,010000000000000000000000010001100001,11,12.799
654,2.0,0,6,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,10,2.983
660,2.0,0,6,6,playing,000000000010000000001100000000000000,000000000000000000000000000000111000,33,1.789
695,2.0,1,9,9,playing,000000010000001100000001000000001000,000000000000000010000000110000010000,5,3.163
596,2.0,1,3,13,playing,110100000011000000010010000000000000,001000000000101000000100000110000000,4,8.458
676,2.0,0,8,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,11,2.247
600,2.0,1,3,17,playing,110100000011000000011010000001000000,001010000000101000000100000110100000,24,17.016
754,2.0,1,13,11,playing,000011010000101000000000000000000100,000100000000010000001001000000010000,6,2.067
