,subject,color,gi,mi,status,bp,wp,response,rt
1632,4.0,0,14,4,playing,000011000000000000000000000000000000,000000100000000100000000000000000000,3,5.736
1504,4.0,0,4,34,playing,110011100001110110010111000010001001,001100011110001000101000110101110110,26,3.21
1399,4.0,0,0,12,playing,000000000000010000000101010001000010,000001000000000100000000100000001101,6,1.82
1445,4.0,0,2,26,playing,001000100010011101000101110000010001,000101011001100010000010001001001110,1,26.138
1531,4.0,1,7,7,playing,000010000000111000000000000000000000,000001000001000100000000000000000000,35,4.283
1494,4.0,0,4,24,playing,100011100001110100000010000010001001,001100010010001000001000110101110000,23,15.27
1546,4.0,0,8,6,playing,000000000000100000001000000000100000,000000101000000000000000000001000000,0,11.382
1535,4.0,1,7,11,playing,000110000000111000000000010000000000,000001010001000100000000000000000001,6,10.204
1468,4.0,1,3,13,playing,000100000000110000001100001001000000,000000000001000000010010000110100000,6,7.942
1411,4.0,1,1,3,playing,000000000000010000000001000000000000,000000000000000000000010000000000000,14,5.692
1634,4.0,0,14,6,playing,000111000000000000000000000000000000,001000100000000100000000000000000000,24,1.513
1391,4.0,0,0,4,playing,000000000000010000000100000000000000,000000000000000000000000000000001001,29,3.152
1659,4.0,0,16,2,playing,000000001000000000000000000000000000,000000000000000000000000000000100000,5,2.142
1419,4.0,0,2,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,31,5.388
1562,4.0,1,9,3,playing,000000000000000000000110000000000000,000000001000000000000000000000000000,24,2.486
1480,4.0,0,4,10,playing,000001000000110000000010000010000000,000000000010000000001000000101100000,0,4.618
1431,4.0,0,2,12,playing,001000000000011100000001000000010000,000100010000100010000010000000001000,21,10.956
1529,4.0,1,7,5,playing,000000000000111000000000000000000000,000001000000000100000000000000000000,11,1.69
1596,4.0,1,11,7,playing,000000000000000000001110000000100000,000000000000000110000001000000000000,19,3.715
1421,4.0,0,2,2,playing,000000000000000000000000000000010000,000000000000000000000010000000000000,23,2.321
1646,4.0,1,15,1,playing,000100000000000000000000000000000000,000000000000000000000000000000000000,6,1.608
1576,4.0,0,10,2,playing,000000000000000000000000000000100000,000000001000000000000000000000000000,21,7.001
1470,4.0,0,4,0,playing,000000000000000000000000000000000000,000000000000000000000000000000000000,22,6.003
1665,4.0,0,16,8,playing,000001011000000000000100000000000000,000100100000000000100000000000100000,29,4.211
1602,4.0,1,11,13,playing,000000000000111000001110000000100000,000100000000000111010001000000000000,11,4.609
1521,4.0,0,6,8,playing,000001000000011000000000100000000000,000010100000000100000001000000000000,21,5.208
1544,4.0,0,8,4,playing,000000000000000000001000000000100000,000000100000000000000000000001000000,12,1.535
1630,4.0,0,14,2,playing,000001000000000000000000000000000000,000000000000000100000000000000000000,4,0.77
1648,4.0,1,15,3,playing,001100000000000000000000000000000000,000000100000000000000000000000000000,5,17.83
1451,4.0,0,2,32,playing,011010100010011101010101110000010001,000101011001100010101010001011001110,27,7.732
1453,4.0,0,2,34,playing,011010100010011101010101110100010001,000101011001100010101010001011101110,9,2.275
1393,4.0,0,0,6,playing,000000000000010000000100000001000000,000001000000000000000000000000001001,23,9.803
1433,4.0,0,2,14,playing,001000000000011100000101000000010000,000100011000100010000010000000001000,6,13.942
1458,4.0,1,3,3,playing,000000000000000000000000001001000000,000000000000000000000000000100000000,19,6.187
1460,4.0,1,3,5,playing,000100000000000000000000001001000000,000000000000000000010000000100000000,22,9.993
1462,4.0,1,3,7,playing,000100000000000000001000001001000000,000000000000000000010010000100000000,11,3.954
1413,4.0,1,1,5,playing,000000000000010000000001000000010000,000000000000001000000010000000000000,30,7.753
1590,4.0,1,11,1,playing,000000000000000000000100000000000000,000000000000000000000000000000000000,16,1.909
1511,4.0,1,5,5,playing,000000000000011100000000000000000000,000000000001000000000000000100000000,16,1.497
1484,4.0,0,4,14,playing,100001000001110000000010000010000000,001000000010001000001000000101100000,4,13.296
1492,4.0,0,4,22,playing,100011100001110100000010000010001000,001100010010001000001000100101110000,35,11.946
