0,1,2,3,4,5,6,7
2.7408,2.68812,2.35957,3.0023,3.00298,3.00848,2.60738,2.78785
2.73578,3.00895,2.70214,2.58331,3.0004,2.76062,2.69389,2.84927
3.00372,2.855,2.48105,3.0023,3.00936,3.00863,3.00583,2.63363
2.53681,2.79901,2.58372,3.00735,2.78585,3.01379,2.6918,2.73379
2.73621,2.6896,2.83058,2.79542,2.76962,2.84667,2.80256,2.7151
2.85653,2.64913,2.63134,3.00571,3.00114,2.70577,2.63433,2.66653
2.73296,2.84092,2.43516,2.75652,3.00748,2.84291,2.80855,2.71365
2.64915,3.00691,2.42192,2.8182,3.01094,2.68228,2.78966,2.81091
2.31002,3.01184,2.32309,3.00597,3.01449,2.84437,3.00652,2.84605
2.74017,2.73582,2.3323,3.00752,3.01237,2.81317,2.65268,2.83906
2.50761,3.00134,2.46611,3.00063,3.01553,2.63766,2.74092,2.53024
3.01234,3.00644,2.76239,2.78772,2.71561,2.77769,2.75851,3.00684
2.84484,3.01125,2.37052,3.00002,3.01831,3.00459,2.72413,2.7752
2.827,2.73192,2.55056,2.70783,2.65506,2.78678,2.80955,2.82545
2.49271,2.56131,2.44075,3.00022,2.82589,3.01705,3.00014,3.00247
2.8184,2.8243,2.42196,2.69746,3.01556,3.01427,2.57916,2.75339
2.69991,3.01315,2.55814,2.57664,3.0107,3.01158,2.63592,3.00363
2.61973,2.61631,2.55091,3.0093,3.0082,2.71083,3.00395,2.8589
2.74921,2.74031,2.37419,3.00087,3.01165,2.87034,2.64112,2.81979
2.75516,3.00967,2.64822,3.00728,3.00017,3.00926,3.00705,2.67462
2.57268,2.83375,2.65533,2.81286,3.00844,3.01287,2.79589,3.00578
2.54756,3.01171,2.36964,3.00326,3.01412,2.77613,2.54247,3.00498
2.54967,3.0134,2.5023,3.00596,2.73416,2.6182,2.76676,2.73198
2.54524,2.51589,2.56221,3.00583,3.00386,2.56336,2.6952,2.857
3.01028,3.00536,2.53436,2.71001,3.00219,3.00244,2.69908,3.00232
2.45425,3.00362,2.65311,2.78372,3.0067,2.83077,3.00323,2.80285
2.72085,2.70099,2.46894,3.007,3.00136,3.00624,2.84524,2.71257
2.76962,2.76341,2.63674,3.00477,2.86808,2.75648,2.61517,2.69742
2.67874,2.68393,2.639,2.62021,2.69662,3.00871,3.00006,3.00458
2.73154,3.0106,2.77161,3.00453,2.90756,2.81198,2.82436,2.78109
