subject,fold,ll,std
7,3, 2.099466e+00, 2.144629e-01
16,1, 3.092894e+00, 1.974933e-01
1,1, 2.758978e+00, 1.794962e-01
6,4, 3.343652e+00, 2.952965e-01
27,4, 1.948487e+00, 1.820981e-01
0,1, 2.840783e+00, 2.095065e-01
38,4, 2.449847e+00, 2.925870e-01
7,4, 3.193868e+00, 2.613384e-01
11,2, 2.263275e+00, 2.790965e-01
17,1, 3.321181e+00, 2.071091e-01
36,3, 3.197329e+00, 2.195668e-01
14,0, 2.779568e+00, 1.693453e-01
27,0, 3.347781e+00, 3.026520e-01
31,2, 2.337054e+00, 2.253426e-01
4,4, 3.057027e+00, 2.621086e-01
37,4, 3.241817e+00, 2.020792e-01
12,3, 2.845327e+00, 2.020514e-01
9,1, 3.226636e+00, 3.076567e-01
29,4, 3.127335e+00, 1.591161e-01
1,2, 3.116535e+00, 1.992333e-01
9,3, 2.964408e+00, 5.373900e-01
30,3, 2.892868e+00, 2.089983e-01
34,3, 2.800338e+00, 2.079273e-01
13,1, 2.970176e+00, 2.016655e-01
20,3, 3.079140e+00, 2.148519e-01
16,3, 3.155001e+00, 2.157253e-01
34,4, 1.828111e+00, 2.230012e-01
36,2, 2.885967e+00, 1.620662e-01
20,1, 2.759695e+00, 1.767498e-01
18,3, 2.672549e+00, 1.938316e-01
19,2, 2.727216e+00, 2.058614e-01
18,4, 3.418502e+00, 1.847772e-01
3,3, 2.873142e+00, 1.345736e-01
26,0, 2.992830e+00, 4.235085e-01
17,0, 3.037705e+00, 1.972249e-01
10,4, 3.153424e+00, 2.354016e-01
14,3, 2.852786e+00, 1.613472e-01
33,2, 3.001540e+00, 1.734650e-01
11,1, 3.143133e+00, 3.473694e-01
15,4, 3.186883e+00, 2.561157e-01
34,0, 2.290187e+00, 2.082056e-01
2,4, 2.648994e+00, 1.121884e-01
32,1, 3.063370e+00, 1.640808e-01
35,0, 2.401696e+00, 1.692586e-01
16,0, 3.215716e+00, 2.100791e-01
27,2, 2.472391e+00, 2.304277e-01
8,2, 3.321998e+00, 2.950423e-01
4,2, 3.078275e+00, 2.795432e-01
5,0, 2.407777e+00, 2.177548e-01
19,1, 3.077943e+00, 2.091978e-01
28,0, 2.941354e+00, 1.490803e-01
25,4, 2.651046e+00, 2.120499e-01
29,3, 2.835099e+00, 1.904304e-01
23,4, 2.626185e+00, 2.093570e-01
35,3, 2.933778e+00, 2.322710e-01
36,1, 3.033029e+00, 1.827508e-01
21,4, 2.760795e+00, 1.732632e-01
24,1, 2.652116e+00, 1.733589e-01
28,4, 2.716265e+00, 1.222652e-01
38,3, 2.594489e+00, 2.397976e-01
3,2, 2.896594e+00, 1.326236e-01
33,3, 2.423656e+00, 1.924653e-01
3,0, 2.841728e+00, 1.392844e-01
23,0, 3.362476e+00, 1.906328e-01
6,2, 3.249409e+00, 2.264335e-01
30,1, 2.305765e+00, 2.187300e-01
24,4, 2.811390e+00, 3.236718e-01
28,1, 2.867969e+00, 1.614092e-01
22,3, 3.202039e+00, 1.967040e-01
12,4, 2.969218e+00, 1.610002e-01
12,2, 2.366915e+00, 1.636325e-01
25,3, 3.174021e+00, 2.381496e-01
